incident_id,attack_vector_primary,downtime_hours,data_compromised_records,data_type,systems_affected,attack_vector_secondary,attack_chain,company_revenue_usd,employee_count,market_cap_at_disclosure,is_public_company,total_loss_usd,direct_loss_usd,recovery_cost_usd,legal_fees_usd,regulatory_fine_usd,insurance_payout_usd,abnormal_return_1d,abnormal_return_7d,abnormal_return_30d,days_to_price_recovery,volume_ratio_disclosure,p_value_1d,quality_score,quality_grade,confidence_tier,company_name,country_hq,industry_primary,industry_secondary,stock_ticker_x,incident_date,incident_date_estimated,discovery_date,disclosure_date,attributed_group,attribution_confidence,data_source_primary,data_source_secondary,data_source_type,review_flag,notes_x,created_at_x,updated_at_x,direct_loss_method,ransom_demanded_usd,ransom_paid_usd,ransom_source,total_loss_method,total_loss_lower_bound,total_loss_upper_bound,inflation_adjusted_usd,cpi_index_used,notes_y,created_at_y,updated_at_y,stock_ticker_y,price_7d_before,price_disclosure_day,price_1d_after,price_7d_after,price_30d_after,volume_avg_30d_baseline,volume_disclosure_day,sector_index,sector_return_same_period,car_neg1_to_pos1,car_0_to_7,car_0_to_30,car_0_to_90,t_statistic_1d,t_statistic_30d,p_value_30d,earnings_announcement_within_7d,pre_incident_volatility_30d,post_incident_volatility_30d,notes,created_at,updated_at
2021-0318-001,ransomware,,1000,mixed,"SCADA,website,HR_systems,backup_systems,ERP",,Phishing email with weaponized attachment ? credential theft via Mimikatz ? lateral movement via RDP/SMB ? Active Directory compromise ? ransomware deployment across domain-joined hosts,28044413739.67,186063,211436688351.51,TRUE,137250034.25,61086782.13,55227154.88,20222350.04,,84623673.51,-0.029378,-0.003854,-0.030284,124,2.9139,0.7242,56.47,Bronze,1,Arrow Phoenix Stores Group PLC,GB,44-45,52,APS.L,2021-03-18,FALSE,2021-03-21,2021-03-28,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001792539&type=8-K&dateb=20211124&owner=include&count=10,,sec_filing,low_quality_score,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,estimated,1095151.86,713747.2,blockchain analysis,calculated,102272971.88,162392293.37,162844174.67,CPI-U 2021 (270.97),Ransom negotiated down 34% from initial demand via third-party negotiator,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,APS.L,287.04,260.26,252.61,259.26,252.38,2739707,7983267,S&P 500 Consumer Discretionary,-0.011103,-0.034091,-0.003854,-0.030284,-0.016519,-2.5516,-1.0831,1,FALSE,0.010521,0.02054,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0318-002,supply_chain,144.06,,,"cloud_infrastructure,customer_database,HR_systems,website,SCADA",ransomware,Compromised third-party software update ? trojanized DLL sideloaded ? C2 beacon established ? persistent access across customer environments,640396276.87,2196,3429037650.48,TRUE,4425406.7,2469959.56,1755889.61,199557.53,,,-0.051165,-0.038259,-0.019079,49,3.2203,0.0002,74.8,Silver,3,Brennan Software N.V.,NL,51,,BREN.AS,2021-03-18,FALSE,2021-06-16,2021-07-06,RansomHub,probable,https://www.mandiant.com/resources/blog/brennan-software-nv-incident-response-2021,,cybersecurity_firm,,Incident scope expanded during investigation; initial disclosure understated impact,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,estimated,,,,estimated,3188747.43,5220791.65,5250648.61,CPI-U 2021 (270.97),Recovery costs include $14.9M for forensic investigation by Stroz_Friedberg,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,BREN.AS,6.42,6.28,5.96,6.04,6.16,5239986,16874279,S&P 500 Information Technology,0.021438,-0.063836,-0.038259,-0.019079,-0.030687,-7.7867,-1.0008,1,FALSE,0.034252,0.062589,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0326-001,phishing,,,,"SCADA,email",,Spear-phishing campaign targeting finance team ? credential harvesting through cloned SSO portal ? email account compromise ? BEC wire transfer or data exfiltration,5717804132.62,20475,9138867043.19,TRUE,83485011.28,39433374.43,37554112.84,6497524.01,,37860436.63,-0.009882,-0.023829,0.005594,16,3.4046,1,72.37,Silver,1,GuarantyBond Group Group Inc.,BE,52,,GUAR.BR,2021-03-26,TRUE,2021-05-30,2021-07-15,BianLian,probable,https://www.ico.org.uk/decisions/2021/05/INQ-2021-00695,,gdpr_notification,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,calculated,,,,estimated,57844000.2,139238608.93,99053146.57,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,GUAR.BR,78.66,74.72,73.98,72.94,75.14,1478844,5034943,S&P 500 Financials,-0.016028,-0.010608,-0.023829,0.005594,-0.008771,-0.7471,0.165,1,FALSE,0.035394,0.049767,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0328-001,ransomware,,,,CRM,data_breach,Phishing email with weaponized attachment ? credential theft via Mimikatz ? lateral movement via RDP/SMB ? Active Directory compromise ? ransomware deployment across domain-joined hosts,522043355.7,2020,1049171833.33,TRUE,8135885.41,3423152.64,3994991.85,717740.92,,3484022.95,-0.027237,-0.00298,-0.021372,111,2.843,1,78.76,Silver,3,Zenith Solar Utilities Holdings Ltd.,IN,22,61,ZSU.NS,2021-03-28,FALSE,2021-09-29,2021-11-20,,,https://blog.talosintelligence.com/2021/05/zenith-solar-utiliti-campaign.html,https://www.zenith-solar-utilities-ho.com/newsroom/2021/10/security-update,cybersecurity_firm,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,estimated,19475737.29,,,estimated,5716719.63,13507050.72,9653050.74,CPI-U 2021 (270.97),Cyber insurance policy sublimit of $24.2M applied; excess borne by company,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,ZSU.NS,12.51,11.94,11.61,11.9,11.68,2358652,6705763,S&P 500 Utilities,0.008621,-0.032632,-0.00298,-0.021372,-0.020655,-1.5318,-4.2744,0.0002,FALSE,0.012082,0.023908,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0331-002,data_breach,,94805,mixed,"manufacturing_OT,cloud_infrastructure",,Misconfigured cloud storage bucket discovered by automated scanner ? bulk data download over 72 hours ? data posted to dark web marketplace,30844588518.41,117599,230247122602.88,TRUE,89701048.32,53300000,33694812.58,2706235.74,,,-0.032316,-0.043373,-0.028293,282,1.5424,1,87.27,Gold,1,SaoPaulo Bank S.A.,BR,52,44-45,SAOP.SA,2021-03-31,FALSE,2021-04-09,2021-07-18,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001145127&type=8-K&dateb=20210204&owner=include&count=10,,sec_filing,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,disclosed,,,,calculated,75718719.63,139403603.48,106428339.06,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,SAOP.SA,302.33,266.96,258.33,255.38,259.41,433613,668788,S&P 500 Financials,0.028346,-0.038841,-0.043373,-0.028293,-0.038974,-1.8232,-1.8482,1,FALSE,0.022489,0.043272,Thinly traded stock (avg volume < 100K); abnormal returns subject to higher noise,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0409-001,supply_chain,23.77,,,"backup_systems,website",,Compromised third-party software update ? trojanized DLL sideloaded ? C2 beacon established ? persistent access across customer environments,76762678830.76,254977,378222379757.58,TRUE,154866061.89,93921740.2,37486117.9,23458203.79,,28929196.6,-0.042094,-0.033258,-0.024213,80,2.1593,0.68185,83.96,Silver,4,Bravo Zephyr Engineering Holdings PLC,GB,31-33,72,BZE.L,2021-04-09,FALSE,2021-04-16,2021-06-05,REvil,probable,https://krebsonsecurity.com/2021/01/bravo-zephyr-enginee-breach-exposes-data/,https://www.crowdstrike.com/blog/bravo-zephyr-enginee-intrusion-analysis-2021/,verified_media,,Initially reported as IT maintenance outage; later reclassified as security incident,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,estimated,,,,calculated,127609140.99,179265130.05,183745207.58,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,BZE.L,654.62,599.62,574.38,579.68,585.1,915055,1975907,S&P 500 Industrials,0.003592,-0.038722,-0.033258,-0.024213,-0.037282,-2.6363,-0.8895,1,TRUE,0.032713,0.050085,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0410-001,apt,184.36,289471,credentials,"file_servers,customer_database,CRM,payment_systems,cloud_infrastructure",,Zero-day exploit in edge device ? fileless implant in memory ? scheduled task persistence ? low-and-slow data staging ? encrypted exfiltration over DNS tunneling,849956651.61,2065,2386866119.03,TRUE,56727683.13,29445153.67,23046971.31,1596757.73,2638800.42,21055484.22,-0.043404,-0.062105,-0.064081,235,3.8538,0.29875,97.25,Gold,1,Miami Electric Co.,US,22,,MIA1,2021-04-10,FALSE,2021-04-16,2021-05-16,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001996994&type=8-K&dateb=20210727&owner=include&count=10,https://www.miami-electric-co.com/newsroom/2021/12/security-update,sec_filing,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,estimated,,,,calculated,40534031.39,97225163.7,67306159.82,CPI-U 2021 (270.97),Recovery includes infrastructure rebuild; company migrated to new cloud provider,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,MIA1,6.41,6.42,6.14,6.02,6.01,1140471,4395107,S&P 500 Utilities,-0.010206,-0.035445,-0.062105,-0.064081,-0.027903,-3.4025,-3.395,0.3025,FALSE,0.030699,0.060395,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0413-001,data_breach,,5376,IP,"website,VPN",,,6162617575.17,13148,14292683145.39,TRUE,36362869.45,14859506.63,17132010.45,4371352.37,,16992182.3,-0.035696,-0.051664,-0.046704,293,2.7651,1,95.48,Gold,3,Vancouver Bancorp Corp.,CA,52,62,VANC.TO,2021-04-13,FALSE,2021-04-15,2021-04-30,Scattered_Spider,probable,https://blog.talosintelligence.com/2021/12/vancouver-bancorp-co-campaign.html,,cybersecurity_firm,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,estimated,,,,estimated,28647358.33,58273008.38,43143752.18,CPI-U 2021 (270.97),Business interruption losses estimated from quarterly revenue delta,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,VANC.TO,51.38,50.57,48.76,47.96,48.21,429131,1186588,S&P 500 Financials,-0.005542,-0.039218,-0.051664,-0.046704,-0.030005,-1.2772,-9.3408,0.0002,FALSE,0.013134,0.025345,Concurrent dividend announcement partially offset negative price reaction,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0421-001,malware,23.59,1000,PII,cloud_infrastructure,,Trojanized installer via SEO-poisoned download ? fileless PowerShell execution ? registry run-key persistence ? credential dumping via LSASS ? data staged for exfil,1432177180.55,12124,2483708091.29,TRUE,22104786.99,13114043.72,5254950.2,3735793.07,,9042647.09,-0.033532,-0.050593,-0.05166,110,1.8898,0.52875,99.68,Gold,3,Paladin Lynx Therapeutics Ltd.,SG,62,,PLT.SI,2021-04-21,FALSE,2021-04-27,2021-06-02,Conti,suspected,https://blog.talosintelligence.com/2021/03/paladin-lynx-therape-campaign.html,,cybersecurity_firm,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,estimated,,,,calculated,15898064.82,26351228.34,26226848.05,CPI-U 2021 (270.97),Customer notification costs include credit monitoring for 6K affected individuals,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,PLT.SI,9.53,8.91,8.61,8.46,8.45,892885,1687404,S&P 500 Health Care,0.024912,-0.032304,-0.050593,-0.05166,-0.034905,-2.9425,-3.2132,0.3934,FALSE,0.014711,0.019829,Concurrent dividend announcement partially offset negative price reaction,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0519-001,ransomware,30.65,45119,mixed,"HR_systems,backup_systems,website,cloud_infrastructure",,,5170052773.78,12163,10103110311.28,TRUE,195932512.72,81640060.77,88413375.68,18953959.94,,,-0.062531,-0.036248,-0.01074,60,1.9523,0.0002,89.81,Gold,1,Baltic Endeavor Bank Pty Ltd.,AU,52,72,BEB.AX,2021-05-19,TRUE,2021-05-20,2021-06-01,Rhysida,probable,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001374307&type=8-K&dateb=20210315&owner=include&count=10,,sec_filing,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,disclosed,9868564.59,6925116.33,congressional testimony,estimated,158326635.38,347803272.89,232469656.57,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,BEB.AX,73.96,67.46,63.24,65.01,66.74,2092063,4084416,S&P 500 Financials,0.028622,-0.05903,-0.036248,-0.01074,-0.019021,-5.0608,-1.9571,1,TRUE,0.013948,0.0262,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0608-001,ransomware,79.88,,,"active_directory,cloud_infrastructure,backup_systems",,Phishing email with weaponized attachment ? credential theft via Mimikatz ? lateral movement via RDP/SMB ? Active Directory compromise ? ransomware deployment across domain-joined hosts,44530914692.85,198010,299744420386.6,TRUE,31973068.81,16786088.08,10846922.12,4340058.61,,,-0.066974,-0.029225,-0.002433,12,3.9882,0.0002,59.73,Bronze,1,Takahashi BioSciences Co.,US,62,,TAKA,2021-06-08,FALSE,2021-06-18,2021-08-09,,,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001237587&type=8-K&dateb=20211214&owner=include&count=10,https://therecord.media/2021/04/06/takahashi-biosciences-co-breached,sec_filing,low_quality_score,OT/ICS systems affected; physical operations suspended for 5 days,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,calculated,154112.07,,,calculated,22632570.5,56150936.42,37935349.38,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,TAKA,411.01,427.14,398.53,414.66,426.1,548466,2187419,S&P 500 Health Care,-0.009249,-0.060035,-0.029225,-0.002433,-0.007079,-5.8989,-0.2786,1,TRUE,0.032488,0.039915,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0621-001,ransomware,77.37,232826,mixed,"customer_database,manufacturing_OT,email,website,file_servers",data_breach,,511354635.18,2731,2384099768.8,TRUE,285803107.07,138065751.5,138056930.69,9680424.88,,147348432.84,-0.04261,-0.007608,0.015574,30,2.5534,0.7949,97.04,Gold,3,Crimson Genome Diagnostics Inc.,US,62,,CGD,2021-06-21,FALSE,2021-07-03,2021-07-17,,,https://blog.talosintelligence.com/2021/01/crimson-genome-diagn-campaign.html,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001685819&type=8-K&dateb=20210419&owner=include&count=10,cybersecurity_firm,,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,calculated,5777345.9,,,estimated,223985419.78,486737129.43,339099158.29,CPI-U 2021 (270.97),,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z,CGD,7.3,6.83,6.54,6.78,6.94,4136478,10562280,S&P 500 Health Care,-0.013509,-0.034668,-0.007608,0.015574,0.003289,-2.4102,0.6972,1,FALSE,0.010909,0.015071,,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
